Country,srcYear,srcMonth,srcCalendarDay,srcStateName,Name of the power station,Monitored capacity,Available capacity,Power generation report for NTPC Station under (Dated) program,Power generation under todays actual,Power generation under (Dated) program,Power generation under till date actual,Coal Stock,Capacity under outage,Maintenance Start Date,Expected date or synchronize date
India,2019,Oct-2019,14-Oct-2019,Uttar Pradesh,AURAIYA CCPP,663.36,0,0.6,0.67,108.4,300.72,,663.36,,
India,2019,May-2019,04-May-2019,Madhya Pradesh,GADARWARA TPP_Unit 2,0,0,0,0,0,0,,0,,
India,2020,Oct-2020,29-Oct-2020,Uttar Pradesh,SINGRAULI STPS_Unit 5,200,200,3.42,4.94,824.18,681.19,16,0,,
India,2024,Sep-2024,07-Sep-2024,Haryana,FARIDABAD CCPP,431.59,0,0.39,0,71.73,215.37,,431.59,,
India,2020,Dec-2020,24-Dec-2020,Uttar Pradesh,DADRI (NCTPP)_Unit 6,490,0,6.26,0,1752.24,667.96,27,490,23/12/2020 23:35,
India,2021,Jun-2021,23-Jun-2021,Odisha,TALCHER (OLD) TPS_Unit 1,0,0,1.17,0,97.91,0,,0,22/03/2021 15:13,
India,2025,Mar-2025,21-Mar-2025,Chhattisgarh,SIPAT STPS_Unit 1,660,660,14.23,15.65,5057.83,4981.09,22,0,,
India,2022,Aug-2022,29-Aug-2022,Madhya Pradesh,VINDHYACHAL STPS_Unit 6,210,210,4.29,5.11,648.41,753.18,15,0,,
India,2021,Mar-2021,01-Mar-2021,Gujarat,GANDHAR CCPP,657.39,224.49,0.97,0,355.97,824.41,,432.9,,
India,2022,Nov-2022,06-Nov-2022,Bihar,KAHALGAON TPS_Unit 3,210,210,3.47,4.72,863.82,877.66,14,0,,
India,2021,Nov-2021,12-Nov-2021,Madhya Pradesh,KHARGONE STPP_Unit 2,660,660,3.97,12.22,751.64,1324.11,11,0,,
India,2022,Nov-2022,17-Nov-2022,Assam,BONGAIGAON TPP_Unit 2,250,250,3,5.42,775,1130.28,26,0,,
India,2024,Jan-2024,02-Jan-2024,Assam,BONGAIGAON TPP_Unit 2,250,250,4.9,5.31,1348.8,1323.86,12,0,,
India,2018,Jun-2018,30-Jun-2018,Uttar Pradesh,RIHAND STPS_Unit 2,500,500,10.37,11.39,943,732.02,,0,,
India,2021,Jul-2021,13-Jul-2021,Odisha,TALCHER (OLD) TPS_Unit 6,0,0,2.35,0,245.55,0,,0,07/03/2021 14:09,
India,2018,Dec-2018,11-Dec-2018,Telangana,RAMAGUNDEM STPS_Unit 7,500,0,10.11,0,2322.88,2480.95,,500,14/11/2018 21:14,
India,2024,Nov-2024,24-Nov-2024,Telangana,RAMAGUNDEM STPS_Unit 7,500,0,11.07,0,2298.68,1886.34,23,500,06/11/2024 0:15,
India,2017,Dec-2017,05-Dec-2017,West Bengal,FARAKKA STPS_Unit 6,500,500,0,9.74,2289,2077.09,,0,,
India,2024,Jan-2024,24-Jan-2024,Karnataka,KUDGI STPP_Unit 3,800,800,12.19,15.66,3833.56,3634.47,17,0,,
India,2025,Dec-2025,30-Dec-2025,Chhatisgarh,SIPAT STPS_Unit 3,660,660,14.74,15.58,4034.2,3807.96,10,0,,
India,2023,Dec-2023,13-Dec-2023,Odisha,TALCHER STPS_Unit 4,500,500,11.65,11.88,2530.45,2298,11,0,,
India,2021,Dec-2021,15-Dec-2021,Karnataka,KUDGI STPP_Unit 1,800,0,1.65,0,326.75,207.59,14,800,11/07/2021 11:45,
India,2021,Oct-2021,31-Oct-2021,Assam,BONGAIGAON TPP_Unit 3,250,250,2.65,3.6,568,828.27,9,0,,
India,2018,May-2018,02-May-2018,West Bengal,FARAKKA STPS_Unit 6,500,500,8.52,9.9,272.04,327.17,,0,,
India,2022,Mar-2022,20-Mar-2022,Gujarat,GANDHAR CCPP,657.39,0,2.33,0,774.6,389.3,,657.39,,
India,2023,Jun-23,18-Jun-23,Telangana,TELANGANA STPP_Unit 2,,,0,0,0,0,,0,,
India,2019,Jan-2019,01-Jan-2019,Uttar Pradesh,DADRI (NCTPP)_Unit 5,490,490,6.58,10.12,1650.58,2591.41,,0,,
India,2018,Feb-2018,12-Feb-2018,Gujarat,GANDHAR CCPP,657.39,657.39,5.04,7.45,1599.48,2742.95,,0,,
India,2022,Jan-2022,05-Jan-2022,Uttar Pradesh,UNCHAHAR TPS_Unit 5,210,210,2.26,3.93,637.3,889.75,12,0,,
India,2023,Oct-2023,15-Oct-2023,Odisha,DARLIPALI STPS_Unit 2,800,800,18.94,19.12,3753.1,2274.49,16,0,,
India,2023,May-2023,09-May-2023,Uttar Pradesh,TANDA TPS_Unit 2,110,0,2.29,0,95.61,20.36,23,110,23/04/2023 17:49,
India,2019,Jul-2019,26-Jul-2019,Uttar Pradesh,DADRI (NCTPP)_Unit 1,210,210,2.65,2.73,346.9,247.38,40,0,,
India,2026,Jan-2026,27-Jan-2026,Uttar Pradesh,SINGRAULI STPS_Unit 2,200,200,4.45,4.12,1344.15,1259.42,11,0,,
India,2019,Dec-2019,20-Dec-2019,Uttar Pradesh,SINGRAULI STPS_Unit 4,200,200,4,4.88,1056,1229.88,17,0,,
India,2024,Nov-2024,07-Nov-2024,Madhya Pradesh,GADARWARA TPP_Unit 2,800,800,17.7,14.17,2849.9,1772.29,19,0,,
India,2021,Oct-2021,27-Oct-2021,Madhya Pradesh,VINDHYACHAL STPS_Unit 7,500,0,11.71,2.97,1934.17,1459.18,6,500,08/10/2021 11:33,27/10/2021 13:37
India,2021,Jan-2021,27-Jan-2021,Karnataka,KUDGI STPP_Unit 2,800,800,8.71,14.11,773.17,435.9,23,0,06/07/2019 20:52,
India,2017,Oct-2017,15-Oct-2017,Uttar Pradesh,SINGRAULI STPS_Unit 7,500,500,11.12,11.79,1809.12,2238.77,,0,,
India,2024,May-2024,03-May-2024,Maharashtra,SOLAPUR STPS_Unit 1,660,660,11.29,9.59,407.87,339.66,33,0,,
India,2022,Nov-2022,29-Nov-2022,Karnataka,KUDGI STPP_Unit 1,800,800,4.33,13.08,1179.57,2757.37,20,0,,
