Country,srcYear,srcMonth,srcCalendarDay,srcStateName,Name of the power station,Monitored capacity,Available capacity,Power generation report for NTPC Station under (Dated) program,Power generation under todays actual,Power generation under (Dated) program,Power generation under till date actual,Coal Stock,Capacity under outage,Maintenance Start Date,Expected date or synchronize date
India,2026,Jan-2026,22-Jan-2026,Telangana,RAMAGUNDEM STPS_Unit 2,200,200,3.81,3.51,1173.82,811.11,21,0,,
India,2022,Jul-2022,10-Jul-2022,Bihar,BARAUNI TPS_Unit 8,250,250,2.81,5.76,279.1,441.15,11,0,22/05/2021 21:45,
India,2017,Sep-2017,22-Sep-2017,Uttar Pradesh,SINGRAULI STPS_Unit 6,500,500,10.93,10.53,1913.46,1876.27,,0,,
India,2021,May-2021,13-May-2021,Uttar Pradesh,DADRI (NCTPP)_Unit 5,490,490,2.84,6.62,122.92,325.14,15,0,,
India,2022,Sep-2022,13-Sep-2022,Uttar Pradesh,UNCHAHAR TPS_Unit 3,210,210,3.07,3.7,514.91,635.51,3,0,,
India,2018,Sep-2018,04-Sep-2018,Maharashtra,MAUDA TPS_Unit 3,660,660,4.87,10.98,764.48,1517.45,,0,,
India,2023,Jul-23,31-Jul-23,Telangana,TELANGANA STPP_Unit 2,,,9.68,0,300,0,,0,,
India,2019,Dec-2019,17-Dec-2019,Uttar Pradesh,DADRI (NCTPP)_Unit 6,490,490,0,7.33,1949,1254.39,34,0,,
India,2020,Jan-2020,08-Jan-2020,Madhya Pradesh,VINDHYACHAL STPS_Unit 3,210,210,4.29,4.49,1104.32,1229.81,11,0,,
India,2024,May-2024,01-May-2024,Telangana,TELANGANA STPP PH-1_Unit 2,800,800,12.06,15.4,413.06,490.86,10,0,,
India,2025,Aug-2025,02-Aug-2025,Uttar Pradesh,SINGRAULI STPS_Unit 3,200,0,4.48,2.82,556.96,521.08,22,200,30/07/2025 18:18,02/08/2025 6:05
India,2021,Sep-2021,07-Sep-2021,Uttar Pradesh,RIHAND STPS_Unit 5,500,500,11.43,11.66,1384.01,1787.87,7,0,,
India,2021,Jan-2021,28-Jan-2021,Odisha,TALCHER (OLD) TPS_Unit 2,60,60,1.06,1.43,291.68,390.68,17,0,,
India,2020,Jun-2020,15-Jun-2020,Uttar Pradesh,AURAIYA CCPP,663.36,333.57,0.77,10.59,71.51,394.8,,329.79,,
India,2024,Jan-2024,13-Jan-2024,Bihar,BARAUNI TPS_Unit 8,250,0,4.77,0,1371.01,1142.46,18,250,12/01/2024 16:47,14/01/2024 00:00
India,2021,Jun-2021,07-Jun-2021,Uttar Pradesh,RIHAND STPS_Unit 3,500,500,10.23,12.04,696.61,780.55,14,0,,
India,2024,Apr-2024,28-Apr-2024,Chhattisgarh,SIPAT STPS_Unit 5,500,500,11.23,11.77,314.44,318.03,18,0,,
India,2025,Jul-2025,05-Jul-2025,Uttar Pradesh,SINGRAULI STPS_Unit 6,500,500,11.29,9.99,1086.45,896.97,13,0,,
India,2017,Nov-2017,15-Nov-2017,Madhya Pradesh,VINDHYACHAL STPS_Unit 2,210,210,3.63,5.01,829.45,1091.69,,0,,
India,2023,Feb-2023,05-Feb-2023,Bihar,BARAUNI TPS_Unit 7,105,0,1.14,0,345.7,0,10,105,19/02/2022 19:30,
India,2019,Oct-2019,05-Oct-2019,Chhattisgarh,KORBA STPS_Unit 7,500,500,10.39,11.87,1590.95,1681.73,1,0,,
India,2023,Jul-23,03-Jul-23,Assam,BONGAIGAON TPP_Unit 1,250,250,5.74,5.16,539.22,450.36,13,0,,
India,2023,Sep-2023,16-Sep-2023,Uttar Pradesh,DADRI (NCTPP)_Unit 1,210,210,4.03,3.38,713.48,493.18,9,0,,
India,2021,Jul-2021,22-Jul-2021,Uttar Pradesh,DADRI (NCTPP)_Unit 3,210,0,1.26,0,141.72,203.64,9,210,19/07/2021 13:08,26/07/2021 00:00
India,2021,Feb-2021,19-Feb-2021,Uttar Pradesh,SINGRAULI STPS_Unit 3,200,200,4.64,4.89,1373.16,1454.15,15,0,,
India,2018,Jul-2018,02-Jul-2018,Uttar Pradesh,TANDA TPS_Unit 4,110,0,0,0,182,160.44,,110,01/07/2018 0:04,
India,2025,May-2025,20-May-2025,Chhattisgarh,KORBA STPS_Unit 6,500,500,11.52,10.65,574.4,538.18,11,0,,
India,2020,Jul-2020,25-Jul-2020,Chhattisgarh,KORBA STPS_Unit 1,200,200,4.1,4.88,511.5,542.83,14,0,,
India,2017,Sep-2017,10-Sep-2017,Chhattisgarh,SIPAT STPS_Unit 4,500,500,10.07,11.96,1640.7,1844.13,,0,,
India,2024,Nov-2024,18-Nov-2024,Haryana,FARIDABAD CCPP,431.59,0,0.39,0,100.02,215.37,,431.59,,
India,2020,Jun-2020,21-Jun-2020,Uttar Pradesh,SINGRAULI STPS_Unit 1,200,200,4.77,4.46,387.17,401.79,15,0,,
India,2019,Feb-2019,03-Feb-2019,Chhattisgarh,KORBA STPS_Unit 4,500,500,10.29,11.71,2811.87,2935.45,,0,,
India,2025,Feb-2025,16-Feb-2025,Madhya Pradesh,KHARGONE STPP_Unit 1,660,660,12.36,10.74,3968.76,3456.65,20,0,,
India,2019,Jul-2019,14-Jul-2019,Odisha,DARLIPALI STPS_Unit 2,0,0,0,0,0,0,,0,,
India,2025,Apr-2025,09-Apr-2025,Bihar,KAHALGAON TPS_Unit 3,210,210,4.5,4.51,40.5,40.94,22,0,,
India,2020,Jan-2020,31-Jan-2020,Madhya Pradesh,KHARGONE STPP_Unit 2,0,0,0,0,0,0,,0,,
India,2022,Feb-2022,03-Feb-2022,Jharkhand,NORTH KARANPURA TPP_Unit 1,0,0,2.64,0,251.92,0,,0,,
India,2023,Jan-2023,10-Jan-2023,Uttar Pradesh,TANDA TPS_Unit 4,110,110,1.87,2.24,448.7,354.31,10,0,,
India,2022,Nov-2022,25-Nov-2022,Andhra Pradesh,SIMHADRI_Unit 1,500,500,5.97,9.3,1592.25,2224.07,28,0,,
India,2020,Dec-2020,09-Dec-2020,Uttar Pradesh,UNCHAHAR TPS_Unit 2,210,0,3.16,0,682.44,407.91,24,210,21/10/2020 21:11,10/12/2020 0:00
India,2023,Mar-2023,10-Mar-2023,Chhattisgarh,SIPAT STPS_Unit 2,660,660,16.87,15.44,4644.7,4285.46,17,0,,
India,2019,Sep-2019,11-Sep-2019,Uttar Pradesh,TANDA TPS_Unit 1,110,0,0,0,296,315.01,39,110,02/09/2019 1:44,
India,2018,Apr-2018,30-Apr-2018,Chhattisgarh,KORBA STPS_Unit 7,500,500,9.67,11.82,290,356.16,,0,,
India,2018,Mar-2018,01-Mar-2018,Madhya Pradesh,VINDHYACHAL STPS_Unit 12,500,500,9.32,12.18,2871.32,3498.65,,0,,
India,2018,Nov-2018,22-Nov-2018,Telangana,RAMAGUNDEM STPS_Unit 2,200,200,4.13,4.45,974.86,1001.22,,0,,
India,2025,Aug-2025,30-Aug-2025,Uttar Pradesh,SINGRAULI STPS_Unit 6,500,0,11.29,0,1718.7,1018.58,22,500,18/07/2025 01:50,
India,2022,Mar-2022,18-Mar-2022,Madhya Pradesh,VINDHYACHAL STPS_Unit 4,210,210,4.32,5.09,1518.76,1621.8,25,0,,
India,2024,May-2024,29-May-2024,Telangana,RAMAGUNDEM STPS_Unit 2,200,200,4.42,3.42,260.18,217.65,18,0,,
India,2024,Jan-2024,16-Jan-2024,Madhya Pradesh,KHARGONE STPP_Unit 1,660,660,12.58,12.88,3302.28,2854.48,27,0,,
India,2025,Dec-2025,10-Dec-2025,Uttar Pradesh,TANDA TPS_Unit 4,110,0,1.52,0,415.2,242.75,26,110,31/08/2025 23.58.00,
India,2021,Jan-2021,23-Jan-2021,Odisha,TALCHER (OLD) TPS_Unit 3,60,60,1.16,1.44,352.68,378.88,21,0,,
India,2021,May-2021,29-May-2021,Chhattisgarh,SIPAT STPS_Unit 1,660,660,15.45,15.79,911.05,785.15,9,0,,
India,2018,Feb-2018,03-Feb-2018,Uttar Pradesh,TANDA TPS_Unit 2,110,110,2.11,2.48,657.33,735,,0,,
India,2025,Mar-2025,20-Mar-2025,Bihar,KAHALGAON TPS_Unit 2,210,210,4.77,4.48,1547.4,1449.42,19,0,,
India,2025,Jun-2025,25-Jun-2025,Uttar Pradesh,SINGRAULI STPS_Unit 2,200,200,4.47,4.31,383.75,363.92,17,0,,
India,2022,Feb-2022,10-Feb-2022,Madhya Pradesh,GADARWARA TPP_Unit 1,800,800,11.82,13.62,3321.2,3142.65,11,0,,
India,2025,Mar-2025,06-Mar-2025,Andhra Pradesh,SIMHADRI_Unit 3,500,500,9.61,10.81,3259.66,3137.37,10,0,,
India,2022,Aug-2022,11-Aug-2022,Madhya Pradesh,VINDHYACHAL STPS_Unit 7,500,500,10.23,10.03,1360.53,1494.57,16,0,,
India,2019,Apr-2019,14-Apr-2019,Madhya Pradesh,VINDHYACHAL STPS_Unit 6,210,210,4.37,5.04,61.18,61.77,20,0,,
India,2022,Feb-2022,20-Feb-2022,Uttar Pradesh,UNCHAHAR TPS_Unit 2,210,0,2.5,0,723,748.49,19,210,18/02/2022 20:08,22/02/2022 00:00
India,2022,Jan-2022,10-Jan-2022,Madhya Pradesh,VINDHYACHAL STPS_Unit 10,500,500,10.29,10.61,2925.9,3129.85,18,0,,
India,2021,Mar-2021,08-Mar-2021,Uttar Pradesh,DADRI (NCTPP)_Unit 2,210,0,2.35,0,795.8,124.28,16,210,27/09/2020 12:44,09/03/2021 0:00
India,2024,Oct-2024,14-Oct-2024,Uttar Pradesh,TANDA TPS_Unit 4,110,0,1.77,0,389.78,239.96,18,110,14/09/2024 16:15,16/10/2024 00:00
India,2024,Apr-2024,19-Apr-2024,Madhya Pradesh,VINDHYACHAL STPS_Unit 2,210,210,4.93,4.46,93.67,92.7,11,0,,
India,2021,Nov-2021,12-Nov-2021,Telangana,RAMAGUNDEM STPS_Unit 2,200,200,0,4.2,719,906.19,7,0,,
India,2018,Mar-2018,14-Mar-2018,Chhattisgarh,SIPAT STPS_Unit 4,500,500,10.13,10.2,3503.82,3959.13,,0,,
India,2019,Sep-2019,10-Sep-2019,Uttar Pradesh,TANDA TPS_Unit 6,0,0,0,0,0,0,38,0,,
India,2022,May-2022,22-May-2022,Gujarat,GANDHAR CCPP,657.39,0,1.29,0.76,65.38,32.82,,657.39,,
India,2024,Mar-2024,13-Mar-2024,Maharashtra,SOLAPUR STPS_Unit 2,660,660,10.94,12.26,3403.22,3743.89,45,0,,
India,2020,Feb-2020,01-Feb-2020,Madhya Pradesh,VINDHYACHAL STPS_Unit 4,210,210,4.26,4.59,1343.26,1193.98,11,0,,
India,2018,Dec-2018,17-Dec-2018,Uttar Pradesh,SINGRAULI STPS_Unit 2,200,200,4.03,4.72,1052.51,999.02,,0,,
India,2020,Dec-2020,08-Dec-2020,Uttar Pradesh,TANDA TPS_Unit 5,660,660,6.9,12.14,1824.2,2631.73,60,0,,
India,2022,Jul-2022,23-Jul-2022,Uttar Pradesh,RIHAND STPS_Unit 6,500,500,10.97,11.46,1253.31,1275.74,23,0,,
India,2021,Apr-2021,16-Apr-2021,Uttar Pradesh,SINGRAULI STPS_Unit 1,200,200,4.74,4.91,75.84,78.58,18,0,,
India,2022,Jul-2022,06-Jul-2022,Madhya Pradesh,GADARWARA TPP_Unit 1,800,800,10.9,14.13,1088.4,1566.27,16,0,,
India,2018,Oct-2018,14-Oct-2018,Odisha,TALCHER (OLD) TPS_Unit 6,110,0,2.03,0,359.42,446.38,,110,29/09/2018 02:15,
India,2021,Mar-2021,05-Mar-2021,Andhra Pradesh,SIMHADRI_Unit 4,500,500,7.87,11.29,2495.35,2330.84,10,0,,
India,2018,Jan-2018,05-Jan-2018,Karnataka,KUDGI STPP_Unit 2,800,800,5.55,12.87,27.75,321.32,,0,,
India,2020,Sep-2020,14-Sep-2020,Madhya Pradesh,VINDHYACHAL STPS_Unit 4,210,210,4.03,4.65,734.42,756.09,6,0,,
India,2022,Feb-2022,10-Feb-2022,Uttar Pradesh,RIHAND STPS_Unit 2,500,500,11.29,11.62,3176.9,3294,29,0,,
India,2021,Sep-2021,01-Sep-2021,Madhya Pradesh,VINDHYACHAL STPS_Unit 2,210,210,4.77,4.58,567.77,711.95,5,0,,
India,2022,Jan-2022,13-Jan-2022,Madhya Pradesh,VINDHYACHAL STPS_Unit 13,500,500,11.71,10.93,2847.23,3160.86,19,0,,
India,2025,Apr-2025,29-Apr-2025,Odisha,TALCHER STPS_Unit 1,500,500,11.43,10.57,331.47,281.1,13,0,,
India,2018,Nov-2018,20-Nov-2018,Andhra Pradesh,SIMHADRI_Unit 4,500,500,8.7,9.23,2037,1792.68,,0,,
India,2019,Nov-2019,15-Nov-2019,West Bengal,FARAKKA STPS_Unit 3,200,200,4.07,4.21,793.05,887.02,2,0,,
India,2020,Jan-2020,30-Jan-2020,Bihar,BARAUNI TPS_Unit 6,105,0,1.71,0,365.3,0,,105,17/03/2012 13:15,
India,2024,Oct-2024,07-Oct-2024,Odisha,DARLIPALI STPS_Unit 2,800,800,18.61,19.11,3540.27,3546.11,16,0,,
India,2022,May-2022,06-May-2022,West Bengal,FARAKKA STPS_Unit 4,500,500,8.42,11.68,318.52,420.15,9,0,,
India,2022,Feb-2022,09-Feb-2022,West Bengal,FARAKKA STPS_Unit 1,200,200,2.82,4.41,903.38,887.22,5,0,,
India,2023,Aug-23,14-Aug-23,Bihar,KAHALGAON TPS_Unit 6,500,500,11,11.78,1496,1300.63,9,0,,
India,2019,Mar-2019,11-Mar-2019,Uttar Pradesh,TANDA TPS_Unit 1,110,0,1.97,0,700.67,613.69,,110,15/02/2019 22:50,
India,2019,Jun-2019,27-Jun-2019,Andhra Pradesh,SIMHADRI_Unit 4,500,500,8.13,8.44,749.51,740.84,31,0,,
India,2024,Apr-2024,11-Apr-2024,Maharashtra,SOLAPUR STPS_Unit 2,660,660,11.83,8.99,130.13,121.6,30,0,,
India,2024,Jan-2024,23-Jan-2024,Chhattisgarh,SIPAT STPS_Unit 5,500,500,12.26,11.9,3165.98,2948.42,9,0,,
India,2020,Oct-2020,01-Oct-2020,Bihar,BARAUNI TPS_Unit 8,250,250,2.26,4.98,276.26,722.7,10,0,,
India,2021,Dec-2021,30-Dec-2021,Bihar,BARAUNI TPS_Unit 7,105,0,0.55,0,150.5,58.44,10,105,28/10/2021 00:00,
India,2025,Apr-2025,23-Apr-2025,Uttar Pradesh,SINGRAULI STPS_Unit 7,500,500,11.3,10.64,259.9,244.69,20,0,,
India,2020,Jan-2020,08-Jan-2020,Telangana,RAMAGUNDEM STPS_Unit 4,500,500,9.74,10.01,2380.92,2065.76,22,0,,
India,2021,Sep-2021,14-Sep-2021,Chhattisgarh,KORBA STPS_Unit 4,500,500,11.3,11.59,1549.2,1558.82,10,0,,
India,2021,Dec-2021,16-Dec-2021,Madhya Pradesh,KHARGONE STPP_Unit 1,660,660,3.55,11.24,926.8,2100.8,6,0,,
India,2019,Jun-2019,16-Jun-2019,Madhya Pradesh,VINDHYACHAL STPS_Unit 13,500,500,9.9,10.46,763.4,867.16,14,0,,
India,2017,Sep-2017,18-Sep-2017,Madhya Pradesh,VINDHYACHAL STPS_Unit 5,210,210,3.83,4.58,578.94,640.11,,0,,
India,2018,Nov-2018,03-Nov-2018,Maharashtra,MAUDA TPS_Unit 2,500,500,6.03,11.54,1309.09,1583.58,,0,,
India,2023,Dec-2023,30-Dec-2023,Gujarat,KAWAS CCPP,656.2,0,1.17,2.47,319.56,548.64,,656.2,,
India,2022,Jul-2022,02-Jul-2022,Maharashtra,MAUDA TPS_Unit 4,660,660,9.19,10.33,878.38,1135.84,7,0,,
India,2018,Jan-2018,31-Jan-2018,Uttar Pradesh,DADRI (NCTPP)_Unit 1,210,210,3.23,3.51,974,873.3,,0,,
India,2021,Sep-2021,28-Sep-2021,Madhya Pradesh,VINDHYACHAL STPS_Unit 1,210,210,4.3,5.04,780.4,836.26,4,0,,
India,2023,Mar-2023,06-Mar-2023,Odisha,TALCHER STPS_Unit 3,500,500,10.39,11.52,3384.34,3792.21,15,0,,
India,2024,Dec-2024,21-Dec-2024,Andhra Pradesh,SIMHADRI_Unit 3,500,500,9.45,9.93,2554.45,2417.42,23,0,,
India,2021,Jul-2021,16-Jul-2021,Chhattisgarh,KORBA STPS_Unit 1,200,200,4.13,4.92,442.08,503.74,11,0,,
India,2018,Jan-2018,03-Jan-2018,Maharashtra,MAUDA TPS_Unit 4,660,660,5.55,9.81,16.65,947.51,,0,,
India,2021,Aug-2021,29-Aug-2021,Uttar Pradesh,UNCHAHAR TPS_Unit 4,210,0,2.26,0,339.54,482.88,2,210,26/08/2021 23:07,01/09/2021 0:00
India,2024,Mar-2024,04-Mar-2024,Uttar Pradesh,SINGRAULI STPS_Unit 1,200,0,4.65,0,1574.6,1441.4,19,200,30/01/2024 23:36,
India,2019,Jan-2019,21-Jan-2019,Madhya Pradesh,VINDHYACHAL STPS_Unit 12,500,500,9.48,11.59,2809.08,3172.46,,0,,
India,2020,Aug-2020,29-Aug-2020,Uttar Pradesh,RIHAND STPS_Unit 4,500,500,9.06,11.89,1496.74,1786.65,3,0,,
India,2018,Sep-2018,04-Sep-2018,Andhra Pradesh,SIMHADRI_Unit 4,500,0,8.7,0,1366.8,1167.52,,500,30/07/2018 00:51,
India,2021,Dec-2021,03-Dec-2021,Telangana,RAMAGUNDEM STPS_Unit 6,500,500,8.39,9.66,2067.17,2534.08,7,0,,
India,2020,Mar-2020,09-Mar-2020,Uttar Pradesh,DADRI (NCTPP)_Unit 6,490,490,9.06,6.7,2675.54,1839.94,49,0,,
India,2019,Jul-2019,10-Jul-2019,Bihar,BARAUNI TPS_Unit 6,105,0,1.71,0,17.1,0,,105,17/03/2012 13:15,
India,2021,Oct-2021,20-Oct-2021,Telangana,RAMAGUNDEM STPS_Unit 7,500,500,9.35,11.54,1544,2184.68,3,0,,
India,2019,Sep-2019,02-Sep-2019,Bihar,KAHALGAON TPS_Unit 4,210,210,4.07,4.69,509.14,499.84,5,0,,
India,2018,Oct-2018,15-Oct-2018,Maharashtra,MAUDA TPS_Unit 3,660,660,4.87,14.53,964.05,1832.68,,0,,
India,2019,Feb-2019,09-Feb-2019,Madhya Pradesh,VINDHYACHAL STPS_Unit 10,500,500,9.82,10.48,3098.38,3672.72,,0,,
India,2019,Jul-2019,16-Jul-2019,Karnataka,KUDGI STPP_Unit 1,800,0,4.65,0,497.4,264.85,25,800,01/06/2019 22:03,
India,2024,Sep-2024,06-Sep-2024,Bihar,KAHALGAON TPS_Unit 7,500,500,10.87,10.31,1720.22,1622.22,20,0,,
India,2024,Jun-2024,02-Jun-2024,Madhya Pradesh,VINDHYACHAL STPS_Unit 11,500,500,11.63,11.86,733.26,735.76,18,0,,
India,2021,Jun-2021,06-Jun-2021,Uttar Pradesh,RIHAND STPS_Unit 4,500,0,10.23,0,685.38,0,14,500,30/03/2021 23:10,08/06/2021 0:00
India,2025,Jun-2025,21-Jun-2025,Maharashtra,MAUDA TPS_Unit 4,660,660,12.93,12.4,1092.53,855.94,27,0,,
India,2021,May-2021,26-May-2021,Uttar Pradesh,TANDA TPS_Unit 2,110,0,2.48,0,139.48,65.5,22,110,09/05/2021 16:28,02/06/2021 0:00
India,2022,Mar-2022,20-Mar-2022,Madhya Pradesh,VINDHYACHAL STPS_Unit 10,500,500,10.29,11.48,3636.8,3900.09,25,0,,
India,2019,Sep-2019,30-Sep-2019,West Bengal,FARAKKA STPS_Unit 1,200,200,4,3.27,627,701.16,3,0,,
India,2024,Apr-2024,04-Apr-2024,Telangana,RAMAGUNDEM STPS_Unit 6,500,500,10.97,10.61,43.88,40.69,17,0,,
India,2022,Oct-2022,02-Oct-2022,Haryana,FARIDABAD CCPP,431.59,0,0.99,0,172.98,2.55,,431.59,,
India,2024,Jan-2024,31-Jan-2024,Bihar,KAHALGAON TPS_Unit 4,210,210,4.85,4.99,1310,1041.12,11,0,,
India,2017,Dec-2017,27-Dec-2017,Chhattisgarh,LARA TPP_Unit 2,0,0,0,0,0,0,,0,,
India,2019,Apr-2019,27-Apr-2019,Bihar,BARAUNI TPS_Unit 7,105,0,1.7,0,45.9,0,,105,19/05/2018 23:52,
India,2023,Jan-2023,21-Jan-2023,Madhya Pradesh,VINDHYACHAL STPS_Unit 9,500,500,10.23,11.31,3003.83,3394.05,20,0,,
India,2023,Dec-2023,22-Dec-2023,Chhattisgarh,SIPAT STPS_Unit 1,660,660,14.32,15.68,3167.04,3194.83,5,0,,
India,2020,Dec-2020,04-Dec-2020,Uttar Pradesh,SINGRAULI STPS_Unit 1,200,200,4.19,4.93,890.76,1190.71,15,0,,
India,2020,Sep-2020,17-Sep-2020,Madhya Pradesh,VINDHYACHAL STPS_Unit 7,500,500,9.13,11.6,1690.21,1809.35,6,0,,
India,2021,Jan-2021,18-Jan-2021,Uttar Pradesh,DADRI (NCTPP)_Unit 2,210,0,2.29,0,671.22,124.28,20,210,27/09/2020 12:44,21/01/2021 00:00
India,2021,Dec-2021,21-Dec-2021,Telangana,RAMAGUNDEM STPS_Unit 6,500,500,8.39,10.26,2218.19,2703.43,15,0,,
India,2022,Mar-2022,21-Mar-2022,Odisha,DARLIPALI STPS_Unit 1,800,800,12.19,18.06,4177.99,5393.49,15,0,,
India,2019,Mar-2019,14-Mar-2019,Chhattisgarh,SIPAT STPS_Unit 1,660,660,13.55,15.78,4717.7,5197.05,,0,,
India,2024,Jun-2024,28-Jun-2024,Karnataka,KUDGI STPP_Unit 2,800,800,15.13,12.37,1384.64,1089.82,14,0,,
India,2023,Feb-2023,03-Feb-2023,Himachal Pradesh,KOLDAM,800,0,2.68,0.01,2941.04,2974.88,,800,,
India,2019,Dec-2019,27-Dec-2019,Chhattisgarh,SIPAT STPS_Unit 3,660,660,0,15.65,3516,3366.77,5,0,,
India,2018,Aug-2018,26-Aug-2018,Chhattisgarh,LARA TPP_Unit 1,800,0,2.87,0,427.62,11.44,,800,23/03/2018 02:34,
India,2025,Mar-2025,07-Mar-2025,Uttar Pradesh,DADRI (NCTPP)_Unit 5,490,490,9.35,8.34,3175.45,2731.51,31,0,,
India,2025,Jan-2025,01-Jan-2025,Bihar,BARAUNI TPS_Unit 8,250,250,4.16,5.57,1215.16,1471.6,15,0,,
India,2018,Nov-2018,05-Nov-2018,Uttar Pradesh,UNCHAHAR TPS_Unit 2,210,210,3.63,4.21,706.15,757.64,,0,,
India,2021,Feb-2021,12-Feb-2021,Uttarakhand,TAPOVAN VISHNUGAD HPS,0,0,1.93,0,334.16,0,,0,,
India,2022,Jul-2022,14-Jul-2022,Bihar,BARH STPS_Unit 1,660,660,7.81,13.65,838.34,1291.74,9,0,,
India,2025,Oct-2025,13-Oct-2025,Madhya Pradesh,VINDHYACHAL STPS_Unit 11,500,500,11.55,10.28,1747.15,1620.99,10,0,,
India,2022,Jun-2022,18-Jun-2022,Bihar,KAHALGAON TPS_Unit 6,500,500,11.2,10.91,878.6,777.18,9,0,,
India,2019,Mar-2019,23-Mar-2019,Delhi,BADARPUR TPS_Unit 2,0,0,0,0,0,0,,0,24/09/2015 19:52,
India,2018,Aug-2018,17-Aug-2018,Odisha,TALCHER STPS_Unit 4,500,500,10.23,7.44,1421.91,1445.03,,0,,
India,2025,Dec-2025,04-Dec-2025,Bihar,KAHALGAON TPS_Unit 2,210,0,4.29,0,1101.16,741.59,18,210,03/12/2025 21.45.00,
India,2023,Oct-2023,01-Oct-2023,Uttar Pradesh,TANDA TPS_Unit 4,110,110,1.84,1.83,405.84,223.94,6,0,,
India,2022,Nov-2022,03-Nov-2022,Madhya Pradesh,VINDHYACHAL STPS_Unit 8,500,500,10.7,11.69,2054.1,2021,10,0,,
India,2020,Jun-2020,19-Jun-2020,Uttar Pradesh,TANDA TPS_Unit 1,110,110,1.37,1.8,109.03,49.76,68,0,,
India,2022,May-2022,29-May-2022,Uttar Pradesh,RIHAND STPS_Unit 5,500,500,9.97,11.69,607.13,638.14,27,0,,
India,2019,May-2019,03-May-2019,Odisha,TALCHER STPS_Unit 6,500,500,9.9,10.36,327.7,371.8,2,0,,
India,2019,Nov-2019,27-Nov-2019,Bihar,BARAUNI TPS_Unit 7,105,0,1.7,0,411.9,78.59,,105,28/10/2019 15:13,
India,2023,May-2023,04-May-2023,Maharashtra,SOLAPUR STPS_Unit 2,660,660,10.35,10.44,418.4,373.19,16,0,03/10/2019 14:53,
India,2018,Jun-2018,02-Jun-2018,Delhi,BADARPUR TPS_Unit 5,210,210,0,4.11,0,229.8,,0,,
India,2021,Mar-2021,01-Mar-2021,Uttar Pradesh,SINGRAULI STPS_Unit 7,500,500,9.35,10.49,3169.35,3470.74,18,0,,
India,2019,Jan-2019,16-Jan-2019,Uttar Pradesh,SINGRAULI STPS_Unit 6,500,500,9.9,12.18,2627.4,2795.58,,0,,
India,2017,Dec-2017,23-Dec-2017,Chhattisgarh,KORBA STPS_Unit 4,500,500,10.32,12.18,2753.36,2953.01,,0,,
India,2021,Nov-2021,05-Nov-2021,Madhya Pradesh,VINDHYACHAL STPS_Unit 2,210,210,4.77,3.58,877.85,846.23,7,0,,
India,2018,Aug-2018,05-Aug-2018,Madhya Pradesh,VINDHYACHAL STPS_Unit 3,210,210,3.74,4.53,478.44,587.26,,0,,
India,2019,Mar-2019,17-Mar-2019,Uttar Pradesh,RIHAND STPS_Unit 4,500,0,10.23,0,3568.91,3829.32,,500,16/03/2019 05:23,
India,2025,Feb-2025,25-Feb-2025,Uttar Pradesh,TANDA TPS_Unit 6,660,660,15.54,11.97,4118.5,4326.86,17,0,,
India,2018,May-2018,30-May-2018,Assam,BONGAIGAON TPP_Unit 1,250,250,4.58,5.75,274.4,224.11,,0,,
India,2024,Mar-2024,15-Mar-2024,Chhattisgarh,KORBA STPS_Unit 2,200,200,4.77,4.86,1453.55,1601.5,11,0,,
India,2020,Aug-2020,20-Aug-2020,Bihar,KAHALGAON TPS_Unit 3,210,0,3.35,0,409,498.32,30,210,06/08/2020 16:01,
India,2018,Nov-2018,29-Nov-2018,Uttar Pradesh,UNCHAHAR TPS_Unit 1,210,210,3.73,3.55,908.17,971.6,,0,,
India,2019,Feb-2019,24-Feb-2019,Odisha,TALCHER STPS_Unit 1,500,500,10.25,12.02,3382,3448.3,,0,,
India,2025,Jun-2025,10-Jun-2025,West Bengal,FARAKKA STPS_Unit 3,200,200,4.37,2.72,310.7,229.69,29,0,10/06/2025 2:53,10/06/2025 7:38
India,2023,Aug-2023,28-Aug-2023,Chhattisgarh,SIPAT STPS_Unit 2,660,0,16.81,0,1765.68,1776.79,20,660,07/08/2023 5:25,
India,2020,Dec-2020,25-Dec-2020,Uttar Pradesh,TANDA TPS_Unit 3,110,0,1.29,0,322.25,245.05,55,110,19/10/2020 02:15,28/12/2020 00:00
India,2019,Apr-2019,19-Apr-2019,Telangana,RAMAGUNDEM STPS_Unit 1,200,200,4.13,3.74,78.47,50.28,23,0,,
India,2024,Jun-2024,12-Jun-2024,Chhattisgarh,SIPAT STPS_Unit 4,500,500,11.27,11.46,822.24,849.24,18,0,,
India,2021,Feb-2021,16-Feb-2021,Uttar Pradesh,DADRI (NCTPP)_Unit 1,210,0,2.32,0,667.12,91.1,20,210,27/09/2020 00:08,
India,2023,Jun-23,11-Jun-23,Bihar,KAHALGAON TPS_Unit 5,500,500,11.67,10.14,840.37,766.01,10,0,,
India,2023,May-2023,06-May-2023,Uttar Pradesh,TANDA TPS_Unit 1,110,0,2.26,0,87.56,16.41,21,110,23/04/2023 20:53,07/05/2023 0:00
India,2024,Aug-2024,10-Aug-2024,Chhattisgarh,KORBA STPS_Unit 4,500,500,11.65,8.83,1536.5,1499.83,5,0,,
India,2023,Aug-23,03-Aug-23,Madhya Pradesh,VINDHYACHAL STPS_Unit 10,500,500,11.61,11.2,1450.83,1369.37,28,0,,
